,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
10,"Migros: Switzerland's largest retail company, Digital Transformation, Automation, Future of Work",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
11,"Intersport: An international sporting goods retailer, Digital Transformation, Future of Work, Automation",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
12,"ThyssenKrupp: One of the world's largest steel producers, Industry 4.0, Automation, Future of Work",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
13,"Delivery Hero: A network of online food ordering sites with over 100 restaurant partners worldwide, Digitalization, Digital Transformation, Automation",0,0_and_food_is_the,"['and', 'food', 'is', 'the', 'that', 'of', 'automation', 'products', 'in', 'stores']","['Lesara: Lesara is the leading global agile retail pioneer for amazing fashion merchandise at best prices.\r\n\r\nThe company has offices in China and Germany and since its launch in 2013 expanded into 24 markets in 7 languages across Europe, grew its assortment to more than 100.000 SKUs and the the team to over 300 employees.\r\n\r\nLesara is operating a completely vertically integrated supply chain and needs only 2 weeks from idea over design, production to product go-live for its collections.\r\n\r\nThe company was awarded as fastest growing tech-company in Europe in 2016., Digitalization', 'Next: Next is engages in the retail of clothing, footwear, accessories, and home products for men, women, and children., Automation, Digital Transformation, HealthTech', 's.Oliver: s.Oliver is an online shop for apparel and fashion., Automation, Digital Transformation, Future of Work']",and - food - is - the - that - of - automation - products - in - stores,1.0,False
14,"IKEA: A Swedish founded Dutch based multinational group, that designs and sells ready to assemble furniture, Digital Transformation, Automation, Future of Work",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
15,"Swisscom: Switzerland’s leading telecom provider, Digital Transformation, Automation, Artificial Intelligence",8,8_mobile_telecommunications_services_communications,"['mobile', 'telecommunications', 'services', 'communications', 'broadband', 'fixed', 'digital', 'transformation', 'automation', 'and']","['Partner Communications Company: Partner Communications Company is a mobile network operator, internet Wi-Fi, fixed telephony service and OTT/IPTV provider in Israel., Cybersecurity, Security, HealthTech', 'SFR: SFR operates as a mobile telecommunications operator that offers mobile telephony services., Digital Transformation, Automation, HealthTech', 'Movistar: Movistar is a Spanish mobile phone operator offering fixed and mobile telephony and broadband services for its clients.\xa0, Automation, MarTech, Future of Work']",mobile - telecommunications - services - communications - broadband - fixed - digital - transformation - automation - and,0.7798352218211276,False
16,"Philips: A diversified technology company improving people's lives through innovation, Other, Digital Transformation, Automation",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
17,"Safran: International technology group with three core businesses: aerospace, defense, and security, Automation, Digital Transformation, Future of Work",10,10_group_automation_technology_transformation,"['group', 'automation', 'technology', 'transformation', 'savills', 'auchan', 'sandvik', 'gategroup', 'otto', 'cnh']","['Safran: International technology group with three core businesses: aerospace, defense, and security, Automation, Digital Transformation, Future of Work', 'Otto Group: Otto Group is a globally operating retail and services group., Other, Automation, FinTech', 'Bosch: The Bosch Group is a global supplier of technology and services., Other, Digital Transformation, Automation']",group - automation - technology - transformation - savills - auchan - sandvik - gategroup - otto - cnh,1.0,True
18,"Capgemini: A leader in consulting, technology and outsourcing services, Digital Transformation, FinTech, Automation",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
19,"Heineken: An independent global brewer, Automation, Digital Transformation, Industry 4.0",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
20,"UBS: Is a Swiss global financial services company that serves over 50 countries, FinTech, Digital Transformation, Automation",1,1_bank_fintech_financial_banking,"['bank', 'fintech', 'financial', 'banking', 'services', 'payments', 'is', 'digital', 'of', 'transformation']","['HSBC: Is a British multinational banking and financial services company, Digital Transformation, Automation, FinTech', 'The Royal Bank of Scotland: The Royal Bank of Scotland is a bank providing retail banking services throughout the United Kingdom and Ireland.\xa0, Other, FinTech, Automation', 'Deutsche Bank: Global investment bank, offers financial products and services to corporate and institutional clients, FinTech, Automation, Digital Transformation']",bank - fintech - financial - banking - services - payments - is - digital - of - transformation,0.6211199574898368,False
21,"Atos: Consulting services and solutions, ranging from supporting strategy development to enterprise solutions and technology, Automation, Digital Transformation, Future of Work",11,11_consulting_manpower_automation_and,"['consulting', 'manpower', 'automation', 'and', 'recruitment', 'services', 'solutions', 'technology', 'management', 'business']","['Atos: Consulting services and solutions, ranging from supporting strategy development to enterprise solutions and technology, Automation, Digital Transformation, Future of Work', 'Randstad: Randstad is a global solutions provider in staffing and recruitment consultancy and placing talent in permanent and temporary job positions., Digital Transformation, Automation, Future of Work', 'Manpower: Manpower is a job recruitment firm engaged in providing Manpower, and talent solutions to the clients., Digital Transformation, Automation, Future of Work']",consulting - manpower - automation - and - recruitment - services - solutions - technology - management - business,1.0,True
22,"Syngenta: Agriculture company helping to improve global food security, Automation, Other, Digital Transformation",0,0_and_food_is_the,"['and', 'food', 'is', 'the', 'that', 'of', 'automation', 'products', 'in', 'stores']","['Lesara: Lesara is the leading global agile retail pioneer for amazing fashion merchandise at best prices.\r\n\r\nThe company has offices in China and Germany and since its launch in 2013 expanded into 24 markets in 7 languages across Europe, grew its assortment to more than 100.000 SKUs and the the team to over 300 employees.\r\n\r\nLesara is operating a completely vertically integrated supply chain and needs only 2 weeks from idea over design, production to product go-live for its collections.\r\n\r\nThe company was awarded as fastest growing tech-company in Europe in 2016., Digitalization', 'Next: Next is engages in the retail of clothing, footwear, accessories, and home products for men, women, and children., Automation, Digital Transformation, HealthTech', 's.Oliver: s.Oliver is an online shop for apparel and fashion., Automation, Digital Transformation, Future of Work']",and - food - is - the - that - of - automation - products - in - stores,0.8013977350335492,False
23,"Michelin: One of the world's leading tyre manufacturers, Digital Transformation, Automation, Other",4,4_cars_industry_of_manufacturer,"['cars', 'industry', 'of', 'manufacturer', '40', 'other', 'automotive', 'and', 'transformation', 'digital']","['Volkswagen: Leading German automotive manufacturer, Digital Transformation, Automation, Industry 4.0', 'Porsche: Leading manufacturer of high quality cars, Other, Automation, Digital Transformation', 'Daimler: Producer of premium cars and manufacturer of commercial vehicles, Other, Digital Transformation, Automation']",cars - industry - of - manufacturer - 40 - other - automotive - and - transformation - digital,0.8834169403876723,False
24,"Flixbus: Book bus tickets for journeys across Europe, New Mobility, Digital Transformation, CleanTech",6,6_transport_travel_rail_air,"['transport', 'travel', 'rail', 'air', 'airline', 'the', 'and', 'of', 'mobility', 'airlines']","['SITA: SITA is an air transport IT and communications specialist, providing IT and telecommunication services to the air transport industry., Cybersecurity, Automation', 'Iberia: Iberia operates a commercial airline and travel service for clients in Latin America and the rest of the world., Digital Transformation, Other', 'Renfe: Renfe is a service rail transport of passengers and goods under the Ministry of Development., New Mobility']",transport - travel - rail - air - airline - the - and - of - mobility - airlines,0.9073495226367717,False
25,"ArcelorMittal: Home – ArcelorMittal, Automation, Digital Transformation, Security",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
26,"BASF: Chemicals production active in chemicals, plastics, performance products, functional solutions, oil and gas, Future of Work, Other, Digital Transformation",4,4_cars_industry_of_manufacturer,"['cars', 'industry', 'of', 'manufacturer', '40', 'other', 'automotive', 'and', 'transformation', 'digital']","['Volkswagen: Leading German automotive manufacturer, Digital Transformation, Automation, Industry 4.0', 'Porsche: Leading manufacturer of high quality cars, Other, Automation, Digital Transformation', 'Daimler: Producer of premium cars and manufacturer of commercial vehicles, Other, Digital Transformation, Automation']",cars - industry - of - manufacturer - 40 - other - automotive - and - transformation - digital,0.57207864882803,False
27,"Danone: A leading global food company built on four business lines: Essential Dairy and Plant Based Products, Early Life Nutrition, Waters and Medical Nutrition, Digital Transformation, Automation, Artificial Intelligence",0,0_and_food_is_the,"['and', 'food', 'is', 'the', 'that', 'of', 'automation', 'products', 'in', 'stores']","['Lesara: Lesara is the leading global agile retail pioneer for amazing fashion merchandise at best prices.\r\n\r\nThe company has offices in China and Germany and since its launch in 2013 expanded into 24 markets in 7 languages across Europe, grew its assortment to more than 100.000 SKUs and the the team to over 300 employees.\r\n\r\nLesara is operating a completely vertically integrated supply chain and needs only 2 weeks from idea over design, production to product go-live for its collections.\r\n\r\nThe company was awarded as fastest growing tech-company in Europe in 2016., Digitalization', 'Next: Next is engages in the retail of clothing, footwear, accessories, and home products for men, women, and children., Automation, Digital Transformation, HealthTech', 's.Oliver: s.Oliver is an online shop for apparel and fashion., Automation, Digital Transformation, Future of Work']",and - food - is - the - that - of - automation - products - in - stores,1.0,False
28,"GlaxoSmithKline: Science led global healthcare co with a special purpose: to help people to do more, feel better, live longer, Automation, HealthTech, Digital Transformation",2,2_healthtech_health_and_medical,"['healthtech', 'health', 'and', 'medical', 'healthcare', 'digital', 'transformation', 'in', 'the', 'pharmaceutical']","['Novo Nordisk: Novo Nordisk is a global healthcare company with more than 90 years of innovation and leadership in diabetes care., HealthTech, Health Care', 'University Medical Center Groningen: University Medical Center Groningen is a hospital in Groningen, The Netherlands. Its core tasks are academic health care, medical education., HealthTech, Automation', 'Fresenius Medical Care: Fresenius Medical Care is a healthcare company that provides dialysis treatment for those with chronic kidney diseases., Digital Transformation, Future of Work, Automation']",healthtech - health - and - medical - healthcare - digital - transformation - in - the - pharmaceutical,1.0,False
29,"Valeo: Automotive technology, naturally, Digital Transformation, New Mobility, Industry 4.0",4,4_cars_industry_of_manufacturer,"['cars', 'industry', 'of', 'manufacturer', '40', 'other', 'automotive', 'and', 'transformation', 'digital']","['Volkswagen: Leading German automotive manufacturer, Digital Transformation, Automation, Industry 4.0', 'Porsche: Leading manufacturer of high quality cars, Other, Automation, Digital Transformation', 'Daimler: Producer of premium cars and manufacturer of commercial vehicles, Other, Digital Transformation, Automation']",cars - industry - of - manufacturer - 40 - other - automotive - and - transformation - digital,0.9144628789984646,False
30,"Faurecia: Global leader in automotive equipment, Digital Transformation, Industry 4.0, CleanTech",4,4_cars_industry_of_manufacturer,"['cars', 'industry', 'of', 'manufacturer', '40', 'other', 'automotive', 'and', 'transformation', 'digital']","['Volkswagen: Leading German automotive manufacturer, Digital Transformation, Automation, Industry 4.0', 'Porsche: Leading manufacturer of high quality cars, Other, Automation, Digital Transformation', 'Daimler: Producer of premium cars and manufacturer of commercial vehicles, Other, Digital Transformation, Automation']",cars - industry - of - manufacturer - 40 - other - automotive - and - transformation - digital,0.6064435381423955,False
31,"Booking.com: #1 hotel booking site owned by Booking Holdings, Digital Transformation, Automation, FinTech",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
32,"Credit Suisse: Switzerland based multinational financial services holding company, Automation, Future of Work, Digital Transformation",1,1_bank_fintech_financial_banking,"['bank', 'fintech', 'financial', 'banking', 'services', 'payments', 'is', 'digital', 'of', 'transformation']","['HSBC: Is a British multinational banking and financial services company, Digital Transformation, Automation, FinTech', 'The Royal Bank of Scotland: The Royal Bank of Scotland is a bank providing retail banking services throughout the United Kingdom and Ireland.\xa0, Other, FinTech, Automation', 'Deutsche Bank: Global investment bank, offers financial products and services to corporate and institutional clients, FinTech, Automation, Digital Transformation']",bank - fintech - financial - banking - services - payments - is - digital - of - transformation,0.5929247568167626,False
33,"Novartis: To discover, develop and successfully market innovative products to prevent and cure diseases, to ease suffering, Automation, HealthTech, Digital Transformation",2,2_healthtech_health_and_medical,"['healthtech', 'health', 'and', 'medical', 'healthcare', 'digital', 'transformation', 'in', 'the', 'pharmaceutical']","['Novo Nordisk: Novo Nordisk is a global healthcare company with more than 90 years of innovation and leadership in diabetes care., HealthTech, Health Care', 'University Medical Center Groningen: University Medical Center Groningen is a hospital in Groningen, The Netherlands. Its core tasks are academic health care, medical education., HealthTech, Automation', 'Fresenius Medical Care: Fresenius Medical Care is a healthcare company that provides dialysis treatment for those with chronic kidney diseases., Digital Transformation, Future of Work, Automation']",healthtech - health - and - medical - healthcare - digital - transformation - in - the - pharmaceutical,0.8962585544595365,False
34,"wirecard: Leading international provider of electronic payment and risk management solutions, Digital Transformation, FinTech",1,1_bank_fintech_financial_banking,"['bank', 'fintech', 'financial', 'banking', 'services', 'payments', 'is', 'digital', 'of', 'transformation']","['HSBC: Is a British multinational banking and financial services company, Digital Transformation, Automation, FinTech', 'The Royal Bank of Scotland: The Royal Bank of Scotland is a bank providing retail banking services throughout the United Kingdom and Ireland.\xa0, Other, FinTech, Automation', 'Deutsche Bank: Global investment bank, offers financial products and services to corporate and institutional clients, FinTech, Automation, Digital Transformation']",bank - fintech - financial - banking - services - payments - is - digital - of - transformation,0.6507415598615464,False
35,"DHL: Express deliveries worldwide, SaaS, Other, Automation",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
36,"Skyscanner: The leading global travel search site providing instant online comparisons for millions of flights plus hotels and car hire, Future of Work, MarTech, Digitalization",6,6_transport_travel_rail_air,"['transport', 'travel', 'rail', 'air', 'airline', 'the', 'and', 'of', 'mobility', 'airlines']","['SITA: SITA is an air transport IT and communications specialist, providing IT and telecommunication services to the air transport industry., Cybersecurity, Automation', 'Iberia: Iberia operates a commercial airline and travel service for clients in Latin America and the rest of the world., Digital Transformation, Other', 'Renfe: Renfe is a service rail transport of passengers and goods under the Ministry of Development., New Mobility']",transport - travel - rail - air - airline - the - and - of - mobility - airlines,0.7193633116630452,False
37,"Opel: Automobile manufacturer, FinTech, Automation, Cybersecurity",4,4_cars_industry_of_manufacturer,"['cars', 'industry', 'of', 'manufacturer', '40', 'other', 'automotive', 'and', 'transformation', 'digital']","['Volkswagen: Leading German automotive manufacturer, Digital Transformation, Automation, Industry 4.0', 'Porsche: Leading manufacturer of high quality cars, Other, Automation, Digital Transformation', 'Daimler: Producer of premium cars and manufacturer of commercial vehicles, Other, Digital Transformation, Automation']",cars - industry - of - manufacturer - 40 - other - automotive - and - transformation - digital,0.5566757645745968,False
38,"Sixt: Car rental since 1912, Sharing Economy, Cybersecurity, MarTech",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
39,"ASOS: Discover the latest in women's fashion and men's clothing online, Digital Transformation, Artificial Intelligence, E-Commerce",0,0_and_food_is_the,"['and', 'food', 'is', 'the', 'that', 'of', 'automation', 'products', 'in', 'stores']","['Lesara: Lesara is the leading global agile retail pioneer for amazing fashion merchandise at best prices.\r\n\r\nThe company has offices in China and Germany and since its launch in 2013 expanded into 24 markets in 7 languages across Europe, grew its assortment to more than 100.000 SKUs and the the team to over 300 employees.\r\n\r\nLesara is operating a completely vertically integrated supply chain and needs only 2 weeks from idea over design, production to product go-live for its collections.\r\n\r\nThe company was awarded as fastest growing tech-company in Europe in 2016., Digitalization', 'Next: Next is engages in the retail of clothing, footwear, accessories, and home products for men, women, and children., Automation, Digital Transformation, HealthTech', 's.Oliver: s.Oliver is an online shop for apparel and fashion., Automation, Digital Transformation, Future of Work']",and - food - is - the - that - of - automation - products - in - stores,1.0,False
40,"Crédit Agricole: One of the main French banking group, Digitalization, Industry 4.0, Digital Transformation",1,1_bank_fintech_financial_banking,"['bank', 'fintech', 'financial', 'banking', 'services', 'payments', 'is', 'digital', 'of', 'transformation']","['HSBC: Is a British multinational banking and financial services company, Digital Transformation, Automation, FinTech', 'The Royal Bank of Scotland: The Royal Bank of Scotland is a bank providing retail banking services throughout the United Kingdom and Ireland.\xa0, Other, FinTech, Automation', 'Deutsche Bank: Global investment bank, offers financial products and services to corporate and institutional clients, FinTech, Automation, Digital Transformation']",bank - fintech - financial - banking - services - payments - is - digital - of - transformation,0.4374268220017058,False
